Designator,Mid X,Mid Y,Layer,Rotation
C1,156.845,-76.835,top,0
C2,150.18,-91.44,top,0
C3,150.18,-94.615,top,0
C4,150.18,-97.79,top,0
C5,153.035,-88.9,top,180
C6,153.035,-80.645,top,90
C7,166.8925,-85.400484,top,0
C8,166.8925,-87.155484,top,0
C9,161.29,-82.235,top,-90
C10,165.1,-82.235,top,-90
C11,168.275,-82.235,top,-90
C12,171.45,-82.235,top,-90
J1,177.8,-83.82,top,90
L1,143.51,-85.09,top,90
R1,132.08,-82.55,top,90
R2,132.08,-96.52,top,-90
R3,162.56,-86.36,top,-90
R4,152.92,-85.725,top,-90
R5,160.02,-86.36,top,90
R6,157.48,-86.36,top,-90
R7,158.115,-78.74,top,0
U1,156.21,-82.55,top,90
USB-C,132.618673,-89.535,top,-90
